title,duration,day_week_n,week,module,is_pro,is_ignored
Systems Operations Overview,10,3,8,Systems Operations,,FALSE
Systems Operations on AWS,45,3,8,Systems Operations,,FALSE
Activity : Troubleshooting Knowledge Base Introduction,30,3,8,Systems Operations,,FALSE
Lunch,45,3,8,Systems Operations,,TRUE
AWS Identity and Access Management (IAM) Review,55,3,8,Systems Operations,,FALSE
Break,15,3,8,Systems Operations,,TRUE
AWS Command Line Interface (AWS CLI),60,3,8,Systems Operations,,FALSE
Café Lab : Install and use the AWS CLI,75,3,8,Systems Operations,,FALSE
Exit Ticket,20,3,8,Systems Operations,,TRUE
Recap,20,4,8,Systems Operations,,TRUE
Systems Operations Knowledge Check and Review,30,4,8,Systems Operations,,FALSE
Tooling and Automation Overview,10,4,8,Tooling and Automation,,FALSE
AWS Systems Manager,45,4,8,Tooling and Automation,,FALSE
Break,15,4,8,Tooling and Automation,,TRUE
Lab : Using AWS Systems Manager,30,4,8,Tooling and Automation,,FALSE
Administration and Development Tools,20,4,8,Tooling and Automation,,FALSE
Tooling and Automation Knowledge Check and Review,30,4,8,Tooling and Automation,,FALSE
Lunch,45,4,8,Tooling and Automation,,TRUE
Servers Overview,10,4,8,Servers,,FALSE
Hosting a Static Website on Amazon S3,15,4,8,Servers,,FALSE
Café Lab : Creating a Website on Amazon S3,75,4,8,Servers,,FALSE
Break,15,4,8,Servers,,TRUE
Exit Ticket,20,4,8,Tooling and Automation,,TRUE
Flex time,70,4,8,Servers,,TRUE
Recap,20,5,8,Servers,,TRUE
Computing on AWS and Demonstration,90,5,8,Servers,,FALSE
Break,15,5,8,Servers,,TRUE
Managing Your AWS Instances,45,5,8,Servers,,FALSE
Lunch,45,5,8,Servers,,TRUE
Lab : Creating Amazon EC2 Instances,45,5,8,Servers,,FALSE
Challenge lab : Linux EC2 Instance,55,5,8,Servers,,FALSE
Break,15,5,8,Servers,,TRUE
AWS Elastic Beanstalk,35,5,8,Servers,,FALSE
Work on Resume,35,5,8,Servers,Professional Skills,FALSE
Interview Practice,30,5,8,Servers,Professional Skills,FALSE
Exit Ticket,20,5,8,Servers,,TRUE
Recap,20,1,9,Servers,,TRUE
"Café Lab : Troubleshooting the
Creation of an EC2 Instance",75,1,9,Servers,,FALSE
Break,15,1,9,Servers,,TRUE
"Servers Knowledge Check and
Review",30,1,9,Servers,,FALSE
"Scaling and Name Resolution
Overview",10,1,9,Scaling and Name Resolution,,FALSE
Elastic Load Balancing,65,1,9,Scaling and Name Resolution,,FALSE
Lunch,45,1,9,Scaling and Name Resolution,,TRUE
ELB Load Balancers and Listeners,75,1,9,Scaling and Name Resolution,,FALSE
Break,15,1,9,Scaling and Name Resolution,,TRUE
Networking Event,80,1,9,Scaling and Name Resolution,Professional Skills,FALSE
Exit Ticket,20,1,9,Scaling and Name Resolution,,TRUE
Recap,20,2,9,Scaling and Name Resolution,,TRUE
Amazon EC2 Auto Scaling,80,2,9,Scaling and Name Resolution,,FALSE
Break,15,2,9,Scaling and Name Resolution,,TRUE
"Lab : Scaling and Load Balancing Your
Architecture",45,2,9,Scaling and Name Resolution,,FALSE
Lab : Using Auto Scaling in AWS ( Linux ),45,2,9,Scaling and Name Resolution,,FALSE
Lunch,45,2,9,Scaling and Name Resolution,,TRUE
Auto Scaling Prediction Challenge,85,2,9,Scaling and Name Resolution,,FALSE
Break,15,2,9,Scaling and Name Resolution,,TRUE
Amazon Route 53,60,2,9,Scaling and Name Resolution,,FALSE
Amazon CloudFront,15,2,9,Scaling and Name Resolution,,FALSE
Exit Ticket,20,2,9,Scaling and Name Resolution,,TRUE
Flex Time,5,2,9,Scaling and Name Resolution,,TRUE
Recap,20,3,9,Scaling and Name Resolution,,TRUE
"Café Lab : Amazon Route 53 Failover
Routing",80,3,9,Scaling and Name Resolution,,FALSE
Break,15,3,9,Scaling and Name Resolution,,TRUE
"Scaling and Name Resolution
Knowledge Check and Review",30,3,9,Scaling and Name Resolution,,FALSE
"Fact Finding Exercise : Cloud
Foundations 1",90,3,9,Serverless and Containers,,FALSE
Lunch,45,3,9,Serverless and Containers,,TRUE
Serverless and Containers Overview,10,3,9,Serverless and Containers,,FALSE
AWS Lambda,30,3,9,Serverless and Containers,,FALSE
Break,15,3,9,Serverless and Containers,,TRUE
Café Lab : Working with AWS Lambda,60,3,9,Serverless and Containers,,FALSE
Exit Ticket,20,3,9,Serverless and Containers,,TRUE
Flex Time,35,3,9,Serverless and Containers,,TRUE
Recap,20,4,9,Serverless and Containers,,TRUE
Challenge Lab : AWS Lambda,90,4,9,Serverless and Containers,,FALSE
Break,15,4,9,Serverless and Containers,,TRUE
APIs and REST,30,4,9,Serverless and Containers,,FALSE
Amazon API Gateway,30,4,9,Serverless and Containers,,FALSE
Lunch,45,4,9,Serverless and Containers,,TRUE
AWS Step Functions,30,4,9,Serverless and Containers,,FALSE
Containers on AWS,45,4,9,Serverless and Containers,,FALSE
Break,15,4,9,Serverless and Containers,,TRUE
"Serverless and Containers
Knowledge Check and Review",30,4,9,Serverless and Containers,,FALSE
Exit Ticket,20,4,9,Serverless and Containers,,TRUE
